Dens,Lat,Long
468.8765996,-74.15025306,4.464073516
457.833641,-74.14971244,4.464073569
447.896028,-74.14917182,4.464073622
435.2291395,-74.1486312,4.464073675
429.6054112,-74.14160317,4.464074323
431.7657538,-74.14052193,4.464074416
433.3063145,-74.13998132,4.464074462
437.6863869,-74.1394407,4.464074508
472.8827332,-74.13187205,4.464075108
480.3080388,-74.13133143,4.464075148
732.805397,-74.12700648,4.464075453
735.4709703,-74.12646587,4.464075489
745.6374555,-74.12592525,4.464075525
616.1900825,-74.12105968,4.46407583
579.9144023,-74.12051907,4.464075862
582.7391884,-74.11997845,4.464075893
575.7845515,-74.11673474,4.464076074
562.6696798,-74.11619412,4.464076103
561.8542707,-74.1156535,4.464076131
549.4909399,-74.11511288,4.464076159
519.1263636,-74.16647166,4.464614316
523.8978105,-74.15944362,4.464615135
489.5467764,-74.1529562,4.464615831
448.4989949,-74.15241558,4.464615886
463.8678444,-74.15079373,4.46461605
463.8936203,-74.15025311,4.464616104
459.4933643,-74.14971249,4.464616157
441.6533455,-74.14917187,4.46461621
421.5473887,-74.14268445,4.464616816
434.4597969,-74.14214384,4.464616863
439.2950674,-74.14052198,4.464617005
439.4238834,-74.13998136,4.464617051
437.2664733,-74.13944074,4.464617097
739.0036186,-74.12754714,4.464618005
747.0247398,-74.12700652,4.464618041
751.2259801,-74.1264659,4.464618078
760.3227723,-74.12592528,4.464618113
603.2007868,-74.11781601,4.464618604
588.6295345,-74.11673477,4.464618663
569.8645359,-74.11565353,4.46461872
513.0567354,-74.16701234,4.465156838
509.9182981,-74.16647172,4.465156904
510.2208118,-74.1659311,4.465156969
517.9137273,-74.16539048,4.465157034
528.6277806,-74.16484987,4.465157099
530.4140977,-74.16430925,4.465157163
536.7446569,-74.16376863,4.465157227
539.4001959,-74.16322801,4.46515729
541.514475,-74.16268739,4.465157353
532.0503974,-74.16214677,4.465157416
527.8023734,-74.15890306,4.465157783
524.2154555,-74.15836244,4.465157843
488.191332,-74.15295626,4.465158419
450.5113032,-74.15241564,4.465158474
464.285732,-74.15079378,4.465158638
464.4035644,-74.15025316,4.465158692
458.445937,-74.14971255,4.465158745
441.873482,-74.14917193,4.465158799
445.9309177,-74.14052203,4.465159593
772.1170937,-74.12700656,4.46516063
773.1750523,-74.12646594,4.465160666
774.24758,-74.12592532,4.465160702
771.8227331,-74.1253847,4.465160737
586.676995,-74.11943789,4.465161102
595.7273181,-74.11835665,4.465161163
547.661109,-74.11132861,4.46516152
508.9134937,-74.16755302,4.46569936
510.450423,-74.1670124,4.465699426
510.5901484,-74.16647179,4.465699492
508.6751948,-74.16593117,4.465699557
504.4191917,-74.16539055,4.465699622
510.6466549,-74.16484993,4.465699687
516.2448154,-74.16430931,4.465699751
527.6824613,-74.16376869,4.465699815
530.7879367,-74.16322807,4.465699878
527.512338,-74.16268745,4.465699941
514.4410764,-74.16214683,4.465700004
525.7290264,-74.15944374,4.465700311
523.1697651,-74.1583625,4.465700431
529.2440568,-74.15457817,4.465700838
530.4347537,-74.15403755,4.465700895
446.6336537,-74.1497126,4.465701334
407.6690067,-74.14430641,4.465701846
764.964091,-74.12592535,4.46570329
763.585495,-74.12538474,4.465703326
770.0925647,-74.12484412,4.465703361
615.3772869,-74.11943792,4.46570369
595.3164256,-74.11781606,4.465703781
514.3566806,-74.11024739,4.465704158
507.7678932,-74.16755309,4.466241948
506.7497178,-74.16539061,4.46624221
505.5984511,-74.16484999,4.466242275
517.1233527,-74.16322814,4.466242466
520.7018553,-74.16268752,4.466242529
514.0932948,-74.16052504,4.466242777
524.0091695,-74.15890318,4.466242959
530.5987861,-74.15457823,4.466243427
529.3668658,-74.15403761,4.466243483
417.1855592,-74.14917203,4.466243975
412.1127242,-74.14484708,4.466244385
685.5544841,-74.13079097,4.466245541
773.2804939,-74.12538477,4.466245914
774.3988556,-74.12484415,4.466245949
779.693187,-74.12268167,4.466246086
527.1791404,-74.11186928,4.466246672
521.4363116,-74.11132866,4.466246698
508.6429637,-74.1632282,4.466785054
503.5673241,-74.16268758,4.466785117
515.663915,-74.15457828,4.466786015
517.4330223,-74.15403766,4.466786071
440.63906,-74.15025332,4.466786457
432.4892625,-74.14646899,4.466786822
435.9961007,-74.14592837,4.466786873
432.401533,-74.14538775,4.466786923
429.6187132,-74.14484713,4.466786973
430.8397499,-74.14430651,4.466787023
458.3924338,-74.13998155,4.466787404
453.3576777,-74.13944093,4.46678745
721.9503254,-74.13079101,4.46678813
742.0838898,-74.13025039,4.466788169
785.279753,-74.12484419,4.466788538
602.296028,-74.11673488,4.466789017
546.7105618,-74.11240992,4.466789235
535.0153668,-74.1118693,4.466789261
523.9524318,-74.11132868,4.466789286
516.3568436,-74.11078806,4.466789311
505.4413368,-74.16322826,4.467327642
496.8892571,-74.15836268,4.467328195
503.1648439,-74.15782206,4.467328255
524.1410775,-74.1562002,4.467328431
512.9485804,-74.15457834,4.467328603
516.6182676,-74.15403772,4.46732866
441.6717071,-74.14971276,4.467329098
446.5777073,-74.14592842,4.467329461
451.6539273,-74.1453878,4.467329512
449.9570875,-74.14484718,4.467329562
456.7505975,-74.13998159,4.467329992
459.2165133,-74.13944097,4.467330038
739.3128889,-74.13079105,4.467330718
751.4241005,-74.13025042,4.467330757
752.2545551,-74.12214112,4.467331296
586.7102162,-74.11673491,4.467331605
597.9977244,-74.11619429,4.467331634
557.8739072,-74.11240995,4.467331824
544.0275015,-74.11186933,4.46733185
533.2128651,-74.11132871,4.467331875
519.4104873,-74.11078809,4.467331899
518.2712989,-74.11024747,4.467331924
494.610251,-74.15782212,4.467870843
507.8668363,-74.1572815,4.467870902
520.9545822,-74.15674088,4.46787096
438.9957395,-74.14971281,4.467871687
422.5968544,-74.14809095,4.467871845
428.6679642,-74.14755033,4.467871896
440.3236041,-74.14646909,4.467871999
459.170637,-74.14106288,4.467872488
467.8892695,-74.14052226,4.467872534
455.2170689,-74.13998164,4.467872581
457.8391263,-74.13944102,4.467872627
773.959082,-74.12268177,4.467873851
756.8607076,-74.12105991,4.46787395
589.1614207,-74.11673494,4.467874194
594.8757238,-74.11619432,4.467874223
538.4900721,-74.11078811,4.467874488
493.1787204,-74.15998466,4.468413191
511.0528883,-74.15782218,4.468413431
519.6164004,-74.15728156,4.46841349
526.3737977,-74.15674094,4.468413548
455.7391669,-74.15241597,4.468414003
451.2354483,-74.15187535,4.468414058
426.9396765,-74.14971286,4.468414275
427.489669,-74.148091,4.468414433
427.5987412,-74.14755038,4.468414485
434.6070913,-74.14700976,4.468414536
460.4807204,-74.14106293,4.468415076
465.5750145,-74.14052231,4.468415123
463.3677516,-74.13998168,4.468415169
458.038761,-74.13944106,4.468415215
777.7851162,-74.12808802,4.468416087
754.917171,-74.12322243,4.468416406
769.3012791,-74.1226818,4.46841644
769.374198,-74.12160056,4.468416506
767.1336892,-74.12105994,4.468416538
761.1313423,-74.12051932,4.46841657
615.6819323,-74.11727559,4.468416753
579.7411939,-74.11619435,4.468416811
600.5249325,-74.11565373,4.468416839
483.3406967,-74.16160659,4.468955594
483.8987273,-74.16106597,4.468955656
481.2776368,-74.16052534,4.468955718
496.8871642,-74.15998472,4.468955779
501.3800589,-74.1594441,4.468955839
516.2420202,-74.15782224,4.468956019
531.4140653,-74.15728162,4.468956078
540.0452822,-74.156741,4.468956137
452.5838682,-74.15241602,4.468956592
447.0647504,-74.15079416,4.468956756
433.9356658,-74.14809105,4.468957021
460.5746844,-74.14160359,4.468957617
466.4253322,-74.14106297,4.468957664
466.4749139,-74.14052235,4.468957711
455.675945,-74.13998173,4.468957757
487.0347769,-74.13565676,4.468958113
744.1181158,-74.13133178,4.468958444
796.3945984,-74.12970992,4.468958561
780.1720853,-74.1291693,4.468958599
750.5280742,-74.12484432,4.468958892
774.1189363,-74.12214122,4.468959061
766.1762433,-74.12160059,4.468959094
764.1926396,-74.12105997,4.468959126
